checks,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
delete_owner_duration,1744829476,4.2451,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.1783,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,4.7424,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.6969,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,4.167,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,84.2145,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.1385,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.1814,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,88.5417,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.7256,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,2.7106,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.7497,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,84.1404,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,2.635,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,3.161,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,3.6967,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,3.2361,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,2.7065,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,2.6524,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,84.0585,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829477,87.4782,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
